id,Overview
493,Avatar-Enter the World of Pandora.
58,"Pirates of the Caribbean: At World's End-At the end of the world, the adventure begins."
494,Spectre-A Plan No One Escapes
299,The Dark Knight Rises-The Legend Ends
495,"John Carter-Lost in our world, found in another."
300,Spider-Man 3-The battle within.
1,Tangled-They're taking adventure to new lengths.
301,Harry Potter and the Half-Blood Prince-A New Age Has Come.
155,Batman v Superman: Dawn of Justice-Dark Secrets Revealed
156,Superman Returns-Justice or revenge
2,Quantum of Solace-
3,"Pirates of the Caribbean: Dead Man's Chest-For love, for hate, for justice, for revenge."
304,The Lone Ranger-Jack is back!
158,Man of Steel-Never Take Off the Mask
157,The Chronicles of Narnia: Prince Caspian-You will believe that a man can fly.
498,The Avengers-Hope has a new face.
302,Pirates of the Caribbean: On Stranger Tides-Some assembly required.
303,Men in Black 3-Live Forever Or Die Trying.
499,The Hobbit: The Battle of the Five Armies-They are back... in time.
500,The Amazing Spider-Man-Witness the defining chapter of the Middle-Earth saga
4,Robin Hood-The untold story begins.
159,"The Hobbit: The Desolation of Smaug-Rise and rise again, until lambs become lions."
5,The Golden Compass-Beyond darkness... beyond desolation... lies the greatest danger of all.
308,King Kong-There are worlds beyond our own - the compass will show the way.
459,Titanic-The eighth wonder of the world.
460,Captain America: Civil War-Nothing on Earth could come between them.
461,Battleship-Divided We Fall
309,Jurassic World-The Battle for Earth Begins at Sea
160,Skyfall-The park is open.
161,Spider-Man 2-Think on your sins.
6,Iron Man 3-There's a hero in all of us.
162,Alice in Wonderland-Unleash the power behind the armor.
310,X-Men: The Last Stand-You're invited to a very important date.
311,Monsters University-Take a Stand
7,Transformers: Revenge of the Fallen-School never looked this scary.
465,Transformers: Age of Extinction-Revenge is coming.
466,Oz: The Great and Powerful-This is not war. It's extinction.
467,"The Amazing Spider-Man 2-In Oz, nothing is what it seems"
469,TRON: Legacy-No more secrets.
470,Cars 2-The Game Has Changed.
471,Green Lantern-Ka-ciao!
9,"Toy Story 3-In our darkest hour, there will be light."
10,Terminator Salvation-No toy gets left behind.
11,Furious 7-The End Begins.
474,World War Z-Vengeance Hits Home
475,X-Men: Days of Future Past-Remember Philly!
476,"Star Trek Into Darkness-To save the future, they must alter the past"
312,Jack the Giant Slayer-Earth Will Fall
12,The Great Gatsby-Prepare for a giant adventure
408,Prince of Persia: The Sands of Time-Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit.
163,Pacific Rim-Defy the Future
